index,singlish,english
7120,This sofa very comfy hor.,This sofa is very comfortable.
7121,I think we need more shelves in the bathroom.,I think we need more shelves in the bathroom.
7122,"Eh, this table too small for the study room or not?","Hey, is this table too small for the study room?"
7123,"Aiyo, the paint on the wall peeling off already.","Oh no, the paint on the wall is peeling off."
7124,Can we put a plant here ah?,Can we put a plant here?
7125,This lighting very nice leh.,This lighting is very nice.
7126,I think we need a new coffee table.,I think we need a new coffee table.
7127,You think this chair too high or not?,Do you think this chair is too high?
7128,"Wah, this new bathroom design very modern.","Wow, this new bathroom design is very modern."
7129,Can we change the sink to a bigger one?,Can we change the sink to a bigger one?
7130,This bed very comfy hor.,This bed is very comfortable.
7131,I think we need more hooks in the kitchen.,I think we need more hooks in the kitchen.
7132,"Eh, this lamp too bright for the bedroom or not?","Hey, is this lamp too bright for the bedroom?"
7133,"Aiyo, the cupboard door cannot close properly.","Oh no, the cupboard door can't close properly."
7134,Can we put a clock here ah?,Can we put a clock here?
7135,This carpet very nice leh.,This carpet is very nice.
7136,I think we need a new wardrobe.,I think we need a new wardrobe.
7137,You think this table too low or not?,Do you think this table is too low?
7138,"Wah, this new bedroom layout very cosy.","Wow, this new bedroom layout is very cosy."
7139,Can we change the shower head to a rain shower?,Can we change the shower head to a rain shower?
7140,This chair very comfy hor.,This chair is very comfortable.
7141,I think we need more drawers in the bedroom.,I think we need more drawers in the bedroom.
7142,"Eh, this fan too noisy or not?","Hey, is this fan too noisy?"
7143,"Aiyo, the window latch broken already.","Oh no, the window latch is broken."
7144,Can we put a picture frame here ah?,Can we put a picture frame here?
7145,This curtain very nice leh.,This curtain is very nice.
7146,I think we need a new TV stand.,I think we need a new TV stand.
7147,You think this shelf too wide or not?,Do you think this shelf is too wide?
7148,"Wah, this new living room design very stylish.","Wow, this new living room design is very stylish."
7149,Can we change the faucet to a modern one?,Can we change the faucet to a modern one?
7150,This rug very comfy hor.,This rug is very comfortable.
7151,I think we need more cabinets in the kitchen.,I think we need more cabinets in the kitchen.
7152,"Eh, this light too dim for the dining room or not?","Hey, is this light too dim for the dining room?"
7153,"Aiyo, the door handle loose already.","Oh no, the door handle is loose."
7154,Can we put a vase here ah?,Can we put a vase here?
7155,This sofa cover very nice leh.,This sofa cover is very nice.
7156,I think we need a new dining set.,I think we need a new dining set.
7157,You think this lamp too tall or not?,Do you think this lamp is too tall?
7158,"Wah, this new study room design very functional.","Wow, this new study room design is very functional."
7159,Can we change the blinds to curtains?,Can we change the blinds to curtains?
7160,This bedspread very comfy hor.,This bedspread is very comfortable.
7161,I think we need more hooks in the bathroom.,I think we need more hooks in the bathroom.
7162,"Eh, this chair too hard or not?","Hey, is this chair too hard?"
7163,"Aiyo, the light bulb fused already.","Oh no, the light bulb has fused."
7164,Can we put a bookshelf here ah?,Can we put a bookshelf here?
7165,This tablecloth very nice leh.,This tablecloth is very nice.
7166,I think we need a new coffee table.,I think we need a new coffee table.
7167,You think this stool too short or not?,Do you think this stool is too short?
7168,"Wah, this new kitchen design very sleek.","Wow, this new kitchen design is very sleek."
7169,Can we change the cabinet handles?,Can we change the cabinet handles?
7170,This cushion very comfy hor.,This cushion is very comfortable.
7171,I think we need more shelves in the living room.,I think we need more shelves in the living room.
7172,"Eh, this light too bright for the study room or not?","Hey, is this light too bright for the study room?"
7173,"Aiyo, the curtain rod bent already.","Oh no, the curtain rod is bent."
7174,Can we put a lamp here ah?,Can we put a lamp here?
7175,This wallpaper very nice leh.,This wallpaper is very nice.
7176,I think we need a new bookshelf.,I think we need a new bookshelf.
7177,You think this table too big or not?,Do you think this table is too big?
7178,"Wah, this new bathroom design very elegant.","Wow, this new bathroom design is very elegant."
7179,Can we change the shower curtain?,Can we change the shower curtain?
7180,This mattress very comfy hor.,This mattress is very comfortable.
7181,I think we need more storage in the bedroom.,I think we need more storage in the bedroom.
7182,"Eh, this fan too slow or not?","Hey, is this fan too slow?"
7183,"Aiyo, the drawer stuck already.","Oh no, the drawer is stuck."
7184,Can we put a side table here ah?,Can we put a side table here?
7185,This bed frame very nice leh.,This bed frame is very nice.
7186,I think we need a new rug.,I think we need a new rug.
7187,You think this lamp too small or not?,Do you think this lamp is too small?
7188,"Wah, this new living room design very cosy.","Wow, this new living room design is very cosy."
7189,Can we change the door knob?,Can we change the door knob?
7190,This blanket very comfy hor.,This blanket is very comfortable.
7191,I think we need more hooks in the hallway.,I think we need more hooks in the hallway.
7192,"Eh, this chair too wobbly or not?","Hey, is this chair too wobbly?"
7193,"Aiyo, the paint on the ceiling peeling off already.","Oh no, the paint on the ceiling is peeling off."
7194,Can we put a mirror here ah?,Can we put a mirror here?
